Model_ID	Name	Prediction Type	End Point	Group	Title	Number compounds in the training set	Number compounds in the test set	Validation approach	R2	RMSE	Balanced Accuracy	AUC	Descriptors	Machine learning approach	Applicability domain	Reference	Source	Link
CHEMBL275	"cAMP-specific 3',5'-cyclic phosphodiesterase 4B -Log(IC50) M"	Regression	-Log(IC50) M	Target	"cAMP-specific 3',5'-cyclic phosphodiesterase 4B -Log(IC50) M model"	790	158	external test set validation 	0.75	0.709	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL2755	"Glutathione reductase, mitochondrial -Log(IC50) M"	Regression	-Log(IC50) M	Target	"Glutathione reductase, mitochondrial -Log(IC50) M model"	95	19	external test set validation 	0.02	0.662	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL2758	Mannose-6-phosphate isomerase -Log(IC50) M	Regression	-Log(IC50) M	Target	Mannose-6-phosphate isomerase -Log(IC50) M model	295	59	external test set validation 	0.03	0.509	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL2778	Ileal sodium/bile acid cotransporter -Log(IC50) M	Regression	-Log(IC50) M	Target	Ileal sodium/bile acid cotransporter -Log(IC50) M model	230	46	external test set validation 	0.58	0.72	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL278	Integrin alpha-4 -Log(IC50) M	Regression	-Log(IC50) M	Target	Integrin alpha-4 -Log(IC50) M model	135	27	external test set validation 	0.9	0.485	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL2781	Sodium/hydrogen exchanger 1 -Log(IC50) M	Regression	-Log(IC50) M	Target	Sodium/hydrogen exchanger 1 -Log(IC50) M model	260	52	external test set validation 	0.73	0.593	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL2782	Sterol O-acyltransferase 1 -Log(IC50) M	Regression	-Log(IC50) M	Target	Sterol O-acyltransferase 1 -Log(IC50) M model	270	54	external test set validation 	0.71	0.545	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL2789	Estradiol 17-beta-dehydrogenase 2 -Log(IC50) M	Regression	-Log(IC50) M	Target	Estradiol 17-beta-dehydrogenase 2 -Log(IC50) M model	400	80	external test set validation 	0.6	0.447	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL279	Vascular endothelial growth factor receptor 2 -Log(IC50) M	Regression	-Log(IC50) M	Target	Vascular endothelial growth factor receptor 2 -Log(IC50) M model	5215	1043	external test set validation 	0.69	0.622	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL2793	Casein kinase I isoform alpha -Log(IC50) M	Regression	-Log(IC50) M	Target	Casein kinase I isoform alpha -Log(IC50) M model	60	12	external test set validation 	0.07	0.924	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL280	Collagenase 3 -Log(IC50) M	Regression	-Log(IC50) M	Target	Collagenase 3 -Log(IC50) M model	2045	409	external test set validation 	0.75	0.733	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL2801	Calcium/calmodulin-dependent protein kinase type II subunit delta -Log(IC50) M	Regression	-Log(IC50) M	Target	Calcium/calmodulin-dependent protein kinase type II subunit delta -Log(IC50) M model	75	15	external test set validation 	0.47	0.545	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL2803	Tyrosine-protein kinase ZAP-70 -Log(IC50) M	Regression	-Log(IC50) M	Target	Tyrosine-protein kinase ZAP-70 -Log(IC50) M model	245	49	external test set validation 	0.59	0.811	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL2808	Oxysterols receptor LXR-alpha -Log(IC50) M	Regression	-Log(IC50) M	Target	Oxysterols receptor LXR-alpha -Log(IC50) M model	500	100	external test set validation 	0.75	0.672	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL2810	Protein-glutamine gamma-glutamyltransferase K -Log(IC50) M	Regression	-Log(IC50) M	Target	Protein-glutamine gamma-glutamyltransferase K -Log(IC50) M model	75	15	external test set validation 	0	0.475	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL2815	High affinity nerve growth factor receptor -Log(IC50) M	Regression	-Log(IC50) M	Target	High affinity nerve growth factor receptor -Log(IC50) M model	1030	206	external test set validation 	0.69	0.679	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL2820	Coagulation factor XI -Log(IC50) M	Regression	-Log(IC50) M	Target	Coagulation factor XI -Log(IC50) M model	155	31	external test set validation 	0.77	0.608	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL2821	Coagulation factor XII -Log(IC50) M	Regression	-Log(IC50) M	Target	Coagulation factor XII -Log(IC50) M model	30	6	external test set validation 	0.73	0.664	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL2828	Casein kinase I isoform delta -Log(IC50) M	Regression	-Log(IC50) M	Target	Casein kinase I isoform delta -Log(IC50) M model	170	34	external test set validation 	0.39	0.748	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL283	Stromelysin-1 -Log(IC50) M	Regression	-Log(IC50) M	Target	Stromelysin-1 -Log(IC50) M model	1135	227	external test set validation 	0.76	0.669	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL2835	Tyrosine-protein kinase JAK1|Tyrosine-protein kinase JAK1 -Log(IC50) M	Regression	-Log(IC50) M	Target	Tyrosine-protein kinase JAK1|Tyrosine-protein kinase JAK1 -Log(IC50) M model	1155	231	external test set validation 	0.73	0.631	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL284	Dipeptidyl peptidase 4 -Log(IC50) M	Regression	-Log(IC50) M	Target	Dipeptidyl peptidase 4 -Log(IC50) M model	3050	610	external test set validation 	0.75	0.658	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL2842	Serine/threonine-protein kinase mTOR -Log(IC50) M	Regression	-Log(IC50) M	Target	Serine/threonine-protein kinase mTOR -Log(IC50) M model	2665	533	external test set validation 	0.79	0.541	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL2845	Protein phosphatase 1B -Log(IC50) M	Regression	-Log(IC50) M	Target	Protein phosphatase 1B -Log(IC50) M model	40	8	external test set validation 	0.05	1.152	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL2850	Glycogen synthase kinase-3 alpha -Log(IC50) M	Regression	-Log(IC50) M	Target	Glycogen synthase kinase-3 alpha -Log(IC50) M model	320	64	external test set validation 	0.64	1.006	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL286	Renin -Log(IC50) M	Regression	-Log(IC50) M	Target	Renin -Log(IC50) M model	1995	399	external test set validation 	0.71	0.705	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL2864	Methylated-DNA--protein-cysteine methyltransferase -Log(IC50) M	Regression	-Log(IC50) M	Target	Methylated-DNA--protein-cysteine methyltransferase -Log(IC50) M model	35	7	external test set validation 	0.76	0.905	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL287	Sigma non-opioid intracellular receptor 1 -Log(IC50) M	Regression	-Log(IC50) M	Target	Sigma non-opioid intracellular receptor 1 -Log(IC50) M model	655	131	external test set validation 	0.62	0.669	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
